               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10657,              0.1162,            0.059699,            0.022743,             0.60865,            0.036972,            0.011862,            0.081675,             0.11795,            0.052995,              0.0838,              0.0018,              0.0018
                   1,            0.080572,             0.12114,            0.048611,             0.33484,             0.31009,             0.12067,            0.038929,            0.077268,             0.15637,             0.04079,            0.066627,           0.0036267,           0.0036267
                   2,            0.068359,            0.095927,            0.038162,             0.75934,             0.18228,             0.11694,            0.041758,            0.072959,            0.096639,            0.033151,            0.049378,           0.0053782,           0.0053782
                   3,            0.068302,            0.092994,             0.03471,              0.7442,             0.22331,             0.16149,            0.056631,            0.072019,            0.087102,            0.029067,            0.032054,           0.0070545,           0.0070545
                   4,            0.071075,             0.09177,            0.032744,             0.82627,             0.10118,            0.086958,            0.022525,            0.082649,             0.09586,            0.027036,            0.014656,           0.0086555,           0.0086555
                   5,            0.070195,            0.087805,            0.032447,             0.70734,             0.29924,             0.12756,            0.057837,            0.060851,            0.079041,            0.026176,             0.00901,             0.00901,             0.00901
                   6,            0.065743,            0.085552,            0.031247,             0.74461,             0.23417,             0.18084,            0.075339,             0.06364,            0.073675,            0.025724,             0.00901,             0.00901,             0.00901
                   7,            0.059031,            0.083097,            0.030611,             0.72409,             0.29692,             0.19022,            0.099614,             0.05505,            0.075387,              0.0252,            0.008812,            0.008812,            0.008812
                   8,             0.05531,            0.084561,            0.030292,             0.80743,             0.25244,             0.28224,             0.15091,            0.051312,             0.07037,            0.024495,            0.008614,            0.008614,            0.008614
                   9,            0.049843,            0.082166,            0.029794,             0.76586,             0.31123,             0.27921,             0.12247,            0.053862,            0.074509,             0.02446,            0.008416,            0.008416,            0.008416
                  10,            0.046018,            0.080233,            0.029798,             0.80019,             0.30015,             0.32017,             0.18205,             0.03897,            0.072159,            0.024412,            0.008218,            0.008218,            0.008218
                  11,            0.042168,            0.081495,            0.029906,             0.74983,             0.30837,             0.26814,             0.14542,            0.046357,            0.074665,            0.023841,             0.00802,             0.00802,             0.00802
                  12,            0.042957,            0.084208,            0.029291,               0.753,             0.31345,             0.28253,             0.17578,            0.039617,            0.069688,            0.023743,            0.007822,            0.007822,            0.007822
                  13,            0.039917,             0.08092,            0.028923,              0.8194,             0.33915,             0.37254,             0.24781,            0.031617,            0.066264,            0.023593,            0.007624,            0.007624,            0.007624
                  14,            0.036972,            0.076835,            0.028543,             0.83327,              0.3324,             0.36251,             0.24083,            0.031134,            0.066551,            0.023303,            0.007426,            0.007426,            0.007426
                  15,             0.03526,            0.077099,            0.027863,             0.86378,             0.33324,             0.36354,             0.21426,            0.033159,            0.066813,              0.0231,            0.007228,            0.007228,            0.007228
                  16,            0.036855,            0.077368,            0.028907,             0.86483,             0.33316,             0.36926,             0.23597,            0.029679,            0.067239,            0.023101,             0.00703,             0.00703,             0.00703
                  17,            0.034626,            0.077121,             0.02746,             0.86184,             0.33895,             0.39024,             0.27081,            0.026331,            0.065404,            0.022887,            0.006832,            0.006832,            0.006832
                  18,            0.033388,            0.078147,            0.027637,             0.86871,             0.33414,             0.41122,             0.27217,            0.028427,            0.067046,            0.022772,            0.006634,            0.006634,            0.006634
                  19,            0.030637,            0.074672,            0.027045,             0.58471,              0.4442,             0.42925,             0.28876,            0.027708,            0.065964,            0.022032,            0.006436,            0.006436,            0.006436
                  20,              0.0322,            0.073467,             0.02631,             0.71362,             0.45023,             0.44358,             0.30362,            0.026148,            0.064566,            0.021803,            0.006238,            0.006238,            0.006238
                  21,             0.03107,            0.072566,            0.025882,              0.5758,             0.45164,             0.44336,             0.29691,            0.028153,            0.067849,            0.021806,             0.00604,             0.00604,             0.00604
                  22,            0.030749,             0.07551,            0.025662,             0.57309,             0.45551,             0.43242,             0.28909,            0.027507,            0.065903,            0.022051,            0.005842,            0.005842,            0.005842
                  23,            0.030524,            0.071379,             0.02528,             0.59785,             0.45047,             0.46668,             0.32462,            0.025882,            0.064931,            0.020424,            0.005644,            0.005644,            0.005644
                  24,            0.030278,            0.072131,            0.025092,             0.47642,             0.46267,              0.4668,             0.33065,            0.025586,            0.063623,            0.020168,            0.005446,            0.005446,            0.005446
                  25,             0.02941,            0.075629,            0.024353,             0.51487,             0.48393,             0.45999,             0.33102,            0.023373,            0.062967,            0.019403,            0.005248,            0.005248,            0.005248
                  26,            0.028895,            0.073311,            0.023278,             0.52313,             0.47719,             0.46499,             0.32512,            0.025067,            0.064059,            0.018255,             0.00505,             0.00505,             0.00505
                  27,            0.027964,            0.070584,            0.022688,             0.51991,             0.48746,             0.47006,             0.32117,            0.026481,            0.065656,             0.01782,            0.004852,            0.004852,            0.004852
                  28,            0.029099,            0.077155,            0.021858,              0.5104,             0.49258,             0.46877,             0.33936,            0.024739,            0.064448,            0.017324,            0.004654,            0.004654,            0.004654
                  29,             0.02838,            0.072413,             0.02148,             0.53233,             0.49288,             0.47602,             0.34327,            0.023287,            0.064067,            0.016362,            0.004456,            0.004456,            0.004456
                  30,            0.026697,            0.071979,            0.020828,             0.52345,             0.49809,             0.48706,             0.34481,            0.023854,            0.064723,            0.015805,            0.004258,            0.004258,            0.004258
