               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10657,              0.1162,            0.059699,            0.022743,             0.60865,            0.036972,            0.011862,            0.081675,             0.11795,            0.052995,              0.0838,              0.0018,              0.0018
                   1,            0.080517,             0.12108,            0.048569,             0.33125,             0.30217,             0.11418,            0.037078,            0.078743,             0.15677,            0.040708,            0.066663,           0.0036634,           0.0036634
                   2,            0.068376,            0.096279,            0.038291,             0.74009,             0.20276,              0.1433,            0.048602,            0.073142,             0.10263,            0.033375,            0.049489,           0.0054891,           0.0054891
                   3,            0.069372,            0.092421,            0.034538,             0.76365,             0.19605,             0.19518,            0.085292,            0.066167,            0.087646,            0.028935,            0.032277,           0.0072772,           0.0072772
                   4,            0.073977,            0.089583,            0.032717,             0.76404,             0.18541,             0.18872,            0.074363,            0.077976,            0.076358,            0.026826,            0.015028,           0.0090278,           0.0090278
                   5,            0.069811,            0.088297,            0.032635,              0.7876,             0.14651,             0.18767,            0.067347,            0.068274,            0.084274,            0.026476,            0.009505,            0.009505,            0.009505
                   6,            0.065326,            0.087378,             0.03144,             0.72984,              0.2686,             0.18297,            0.070346,            0.056263,            0.075637,             0.02592,            0.009505,            0.009505,            0.009505
                   7,            0.057671,            0.086281,             0.03067,             0.74748,             0.27885,             0.20211,             0.10084,            0.049519,            0.085724,            0.025508,            0.009406,            0.009406,            0.009406
                   8,            0.053555,            0.087093,             0.03027,             0.74065,             0.29213,              0.2328,             0.10124,            0.050011,            0.075647,            0.024607,            0.009307,            0.009307,            0.009307
                   9,            0.048383,            0.084122,            0.029795,             0.77023,              0.3133,             0.29122,             0.14651,            0.046831,            0.073659,            0.024397,            0.009208,            0.009208,            0.009208
                  10,            0.047658,            0.080483,            0.029768,              0.7623,             0.31916,             0.28126,             0.15328,            0.044432,            0.073335,            0.024129,            0.009109,            0.009109,            0.009109
                  11,            0.043308,            0.081483,            0.029892,             0.81308,              0.2659,             0.28449,             0.16473,            0.039688,            0.073324,            0.023979,             0.00901,             0.00901,             0.00901
                  12,            0.040227,            0.085438,            0.029344,             0.78585,              0.3299,             0.32224,             0.20965,            0.035192,            0.070443,            0.023906,            0.008911,            0.008911,            0.008911
                  13,            0.039881,            0.082811,            0.028895,             0.80051,             0.33077,             0.32271,             0.20148,            0.033891,            0.068237,            0.023751,            0.008812,            0.008812,            0.008812
                  14,            0.038363,            0.078619,            0.028596,             0.82539,             0.33126,             0.35294,             0.23352,             0.03004,            0.068853,            0.023369,            0.008713,            0.008713,            0.008713
                  15,            0.038282,            0.078403,             0.02793,             0.82665,              0.3161,             0.33494,              0.2041,            0.034173,            0.067476,            0.023062,            0.008614,            0.008614,            0.008614
                  16,            0.037212,            0.077718,            0.028858,             0.78987,             0.32546,             0.33037,             0.20791,            0.034063,              0.0696,            0.023112,            0.008515,            0.008515,            0.008515
                  17,            0.037407,            0.078244,            0.027379,             0.84896,             0.33717,              0.3856,             0.24498,            0.032306,            0.068902,            0.022977,            0.008416,            0.008416,            0.008416
